id	headline
africa_101	Kiplimo regains world half-marathon record in Lisbon
africa_102	Bitter times for cocoa farmers as chocolate market slumps
africa_103	Weight-loss treatments boom as Kenyan attitudes to beauty change
africa_104	Ethiopia experiments with 'smart' police stations that have no officers
africa_105	Catch of the day: Pictures from spectacular Nigerian fishing festival
africa_106	The two farms in Senegal that supply many of the UK's vegetables
africa_107	Regragui departs as Morocco appoint Ouahbi as new coach
africa_108	Kosgei wins Tokyo Marathon in record time
africa_109	Man Utd ruled out signing Osimhen 'because of Afcon'
africa_110	Jubilant Senegal fans join the Afcon champions parade
africa_111	Senegalese fans celebrate dramatic Afcon win
africa_112	Ghana drops coup leader's name from main airport on putsch anniversary
africa_113	Deportation of Chagos Islanders blocked by judge
africa_114	South African farmers fear devastation as foot-and-mouth takes hold
africa_115	Lion DNA helps convict poachers for first time
